time,DT,MassRate_1006,MassRate_1007,MassRate_1008,MassRate_1009,MassRate_1010,P_1001,P_1002,P_1003,P_1004,P_1005,T_1006,T_1007,T_1008,T_1009,T_1010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.64347659,12.91467969,16.39251735904,16.358857564893,16.355138000658,16.351392656199,16.376845424366,31034790.083398,31288323.013883,31538296.586276,31788267.728879,32034618.87837,467.93503015686,466.78173442354,466.78122040405,466.77955900148,467.93090023047
334.05288377599,33.497353070544,16.061441482384,16.085855869634,16.081710965344,16.077614343136,16.044112862101,30926488.78283,31182167.422698,31432110.842952,31682055.317719,31926184.633304,475.77476103693,475.22982946406,475.23132211132,475.23301126984,475.78251687144
921.30057656034,86.883506960031,14.200750748491,14.339694936517,14.33468142544,14.329791626938,14.179716281927,30741380.841167,31003383.365651,31253237.299511,31503097.317122,31740699.978266,476.30198808392,476.37786129841,476.38114034293,476.38474589869,476.31627373959
1870.6478839972,100.98653964594,11.376247944154,11.611277415935,11.605626496204,11.60012873372,11.352617690825,30521123.246949,30788726.137185,31038506.625562,31288295.217672,31520146.565963,475.65332163272,475.76282213012,475.76635508467,475.76996218225,475.66685988325
2985.3774660177,117.37879312759,8.8966760743356,9.1668616146431,9.161302966664,9.1558873016805,8.8736476569664,30337804.788257,30607453.178677,30857212.299812,31106977.535852,31336754.975182,475.47096590824,475.53023269633,475.53314342247,475.53663974396,475.48372837047
4726.2585109588,203.80561265849,6.4139519015435,6.6647252376771,6.6600615406881,6.6554695587849,6.3949301466499,30156507.986363,30424291.946637,30674084.778455,30923878.590993,31155626.473419,475.45910618301,475.48063640595,475.48378651816,475.48679016313,475.47154695361
6862.2484010818,193.817109752,4.7442367291687,4.9338711902535,4.9305252312518,4.9271854649241,4.7308768943936,30036136.813546,30298936.601448,30548804.385306,30798667.790068,31035587.252696,475.49948463211,475.5074714124,475.5106157952,475.51363258857,475.51174289061
8854.3299007773,225.27773017998,3.9226687055664,4.0561690977469,4.0538663649858,4.0515363648621,3.9136621994585,29978344.659127,30236578.564799,30486512.182325,30736438.497287,30978074.350964,475.53913242149,475.54433941284,475.54748109441,475.55051777887,475.55140470915
10950.726856073,175.28471988972,3.463633302597,3.5510073665893,3.5495147011053,3.5479822476596,3.4579214361864,29947513.026052,30201925.355354,30451912.336995,30701890.840221,30947462.329721,475.57658186421,475.58315195734,475.58630493478,475.58935278832,475.58891705244
13026.235086697,249.01206131198,3.2253131202583,3.2806715072624,3.2797251080227,3.2787396071141,3.2217688877033,29932927.215685,30184598.103752,30434621.896663,30684637.186074,30933024.044804,475.60749831369,475.61780462977,475.62096082261,475.6240251624,475.61988272042
15077.579273199,193.75199395591,3.1009375081383,3.135294559871,3.1347010182482,3.1340745774286,3.098760385678,29926643.003116,30176436.082959,30426483.886296,30676523.772492,30926833.912908,475.6310364192,475.64621608461,475.6493686722,475.65243998431,475.64342339158
17371.754478021,275.24694353634,3.0298348144931,3.0495492078279,3.0491995306032,3.0488253788611,3.028579490959,29924487.290692,30172903.71902,30422968.060001,30673025.519805,30924741.928497,475.64936874451,475.67020289545,475.67334178473,475.67641224127,475.66173279436
19783.972748908,214.16490373782,2.9936155069262,3.0043731306811,3.0041719396376,3.0039540781833,2.9929067635763,29924842.574742,30172381.407965,30422455.569761,30672524.169078,30925134.932412,475.66127309889,475.68731755094,475.69044107799,475.69350486608,475.67359800196
22538.694667179,248.92840193523,2.9748752336746,2.9801294790916,2.9800193871972,2.9798991791698,2.9744923191687,29926579.90648,30173592.709148,30423672.464992,30673748.31864,30926894.509001,475.66852664728,475.69905377707,475.70216389516,475.70521964538,475.68081656287
25486.201713872,353.63136344107,2.9664763870685,2.9688193901965,2.9687575323598,2.9686900466048,2.9662606469686,29928867.792923,30175676.933536,30425759.08485,30675839.220983,30929193.559905,475.6719547698,475.70561064572,475.70870962143,475.71176026514,475.68422385056
28349.364410144,225.1263846708,2.963119859618,2.9641091539778,2.9640697914753,2.9640273489177,2.9629795799013,29931026.41902,30177852.324711,30427935.056317,30678017.585724,30931357.066314,475.67314031411,475.70857758354,475.7116705393,475.71471900036,475.68540104638
31245.07969967,261.6691633012,2.9617117925074,2.9620506168061,2.9620220844619,2.961991957768,2.9616067397421,29932967.961587,30179931.112823,30430013.668397,30680097.70932,30933300.821746,475.67341500786,475.70981702379,475.7129066147,475.71595535935,475.68567500865
34347.327953497,304.14360859068,2.9611070947959,2.9611278182074,2.9611046163068,2.9610806434543,2.9610187546729,29934747.468207,30181916.568713,30431998.654335,30682083.737434,30935081.375824,475.67337188199,475.71025258711,475.71334053894,475.71639126263,475.68563553008
37421.585056125,353.51255562385,2.9608741485893,2.9607554283157,2.9607345719372,2.9607133542824,2.9607928955699,29936241.735706,30183624.224671,30433705.830041,30683791.593913,30936576.095275,475.67329843722,475.71035149831,475.71343827911,475.71649158563,475.68556708682
40652.690440562,336.186922913,2.9607813834854,2.9605990810569,2.9605792841576,2.960559338826,2.9607032405544,29937573.045891,30185162.417207,30435243.645117,30685329.863279,30937907.646778,475.6733086775,475.71038836478,475.71347415602,475.7165302756,475.68558205372
43909.865134552,319.71041859676,2.9607478685932,2.9605382623521,2.9605189108231,2.9604995095082,2.9606709794374,29938725.613745,30186491.460936,30436572.455234,30686658.942067,30939060.340555,475.6734322734,475.71047304587,475.71355808599,475.71661672495,475.6857093922
47407.545356097,371.60618847597,2.9607365267219,2.9605146082307,2.9604954635633,2.9604763013575,2.9606601537859,29939802.488213,30187718.925729,30437799.80071,30687886.41874,30940137.321116,475.67367494509,475.71065224563,475.71373665515,475.71679742887,475.68595510141
51080.621825401,353.39378772191,2.9607341197866,2.9605069701527,2.9604878924168,2.9604688310768,2.9606579427148,29940802.300039,30188836.303411,30438917.174075,30689003.803673,30941137.211866,475.67402229655,475.71093137319,475.71401538052,475.71707783581,475.68630426492
54799.724748789,336.07397582001,2.9607347302659,2.9605055754494,2.9604865197113,2.9604674964191,2.9606586108543,29941718.615175,30189832.152539,30439913.117094,30689999.669111,30942053.608768,475.67444129814,475.71128641958,475.71436991968,475.71743379114,475.68672418737
59288.236895585,477.43165248462,2.9607361368072,2.9605065248917,2.9604874798039,2.9604684605594,2.9606600291764,29942738.419855,30190900.267205,30440981.451157,30691067.817145,30943073.502182,475.67500729236,475.71178043007,475.71486378362,475.71792851928,475.68729066257
63748.558725914,454.03275102019,2.9607371938119,2.9605080610703,2.9604890074984,2.9604699939917,2.960661081712,29943691.18191,30191859.648211,30441941.089361,30692027.225568,30944026.320175,475.67561411029,475.71231634476,475.71539902458,475.71846415808,475.68789808162
68535.281943114,527.73187933758,2.9607375937574,2.9605093783123,2.9604903130618,2.9604713123897,2.9606614750945,29944673.383225,30192813.460787,30442895.21903,30692981.078196,30945008.522034,475.67630137957,475.71292222109,475.7160044104,475.71906997115,475.68858584431
77102.637391756,684.40029149312,2.9607369787907,2.9605103672164,2.9604913005463,2.9604722943312,2.9606608442765,29946357.760006,30194395.479312,30444477.793873,30694563.124103,30946692.946123,475.67760337316,475.714055108,475.7171361106,475.72020228637,475.68988712544
83978.64452392,972.26915988139,2.960735653555,2.9605101202201,2.9604910511075,2.9604720428802,2.9606595231721,29947682.019868,30195610.064774,30445692.770105,30695777.759193,30948017.19019,475.67870396372,475.71499816252,475.71807869575,475.72114516005,475.69098746924
87803.166598629,378.25293962939,2.9607348828498,2.9605097361031,2.9604906764752,2.960471776596,2.9606591849972,29948362.297265,30196225.396817,30446308.777269,30696393.501952,30948697.008284,475.67933141568,475.71553170494,475.71861205616,475.72167902489,475.6916151294
94434.382074624,981.09071017438,2.9607345217905,2.9605083448178,2.9604886944236,2.9604703726795,2.960657498622,29949537.628772,30197272.699418,30447357.192501,30697443.009109,30949873.263787,475.68046507363,475.71648161473,475.71956409496,475.72263145342,475.69274440361
97446.177577579,425.86865125476,2.9607298456041,2.9605051062357,2.960487020075,2.9604692271428,2.9606538552925,29950177.2236,30197847.903549,30447931.913253,30698016.59069,30950511.287854,475.68098619811,475.71692326253,475.7200063198,475.7230733725,475.69326569852
102928.20657472,302.49764715322,2.960725672163,2.9605034142277,2.9604843451172,2.9604670746124,2.9606506760683,29951236.706089,30198802.662366,30448885.657435,30698970.578595,30951571.471155,475.68194693481,475.71773726558,475.72081953768,475.7238878891,475.69422680904
104914.74384838,175.79970989831,2.9607256194757,2.9605031399968,2.960484488618,2.9604666112616,2.9606500164611,29951633.388755,30199161.439122,30449244.459557,30699329.265606,30951968.057989,475.68229959624,475.71803589133,475.72111848618,475.72418639997,475.69458000402
107640.43067502,305.2422556608,2.9607268676469,2.9605048082426,2.9604855675565,2.9604672016484,2.9606508752858,29952090.437793,30199575.705853,30449659.08507,30699743.719219,30952425.082798,475.68278098448,475.71844358291,475.72152660167,475.72459399134,475.69506283207
112991.68365311,791.71979912413,2.9607266179679,2.9605025313799,2.9604833522039,2.9604656848434,2.9606499311181,29952982.381343,30200392.835159,30450475.691323,30700560.400301,30953317.509655,475.68374732165,475.71925769019,475.72234162795,475.7254105929,475.69602511174
118645.0115626,308.01176643104,2.9607203874778,2.9605004863127,2.9604808120053,2.9604630669744,2.9606453388451,29954035.250528,30201369.855538,30451452.757522,30701537.80094,30954369.173963,475.68478878662,475.72014015024,475.72322541098,475.72629646209,475.69706688423
120854.02299928,326.8240350556,2.9607210199362,2.9604997869269,2.9604806609222,2.9604623242212,2.9606455899705,29954475.50966,30201779.985089,30451862.878171,30701947.628348,30954810.032963,475.68519507369,475.72048823265,475.7235736843,475.72664328466,475.69747362587
125003.83075531,567.46683895123,2.9607226474472,2.9605011846213,2.9604816130018,2.9604627454754,2.9606465689338,29955104.271568,30202371.253107,30452453.825972,30702538.23303,30955438.161974,475.68595652175,475.72114034897,475.72422544997,475.72729464443,475.69823315662
134222.33737099,985.29660847777,2.9607202338328,2.9604988280346,2.9604777384074,2.9604608459569,2.9606446468292,29956493.254747,30203719.860629,30453801.727575,30703886.110675,30956827.138729,475.68767608353,475.72262953535,475.72571117952,475.72878215858,475.69994810077
137815.2469604,234.25181771564,2.9607155380937,2.9604942164116,2.9604747375192,2.9604557029568,2.9606401459228,29957210.739208,30204421.386022,30454503.967441,30704588.539253,30957544.939949,475.68835505721,475.72321915278,475.72629867074,475.72936914704,475.70062817689
141447.20456733,406.73305589371,2.9607180803271,2.9604958961231,2.9604767313493,2.9604573828896,2.960642089362,29957721.839133,30204921.566052,30455004.417256,30705088.687235,30958055.608126,475.68902893802,475.72380349432,475.72688437101,475.72995407179,475.70130403804
148577.70971948,1054.9607969977,2.9607186263974,2.9604959899974,2.9604754015682,2.960456977944,2.9606417984501,29958675.474088,30205877.655905,30455961.149032,30706044.014653,30959009.274374,475.69036698018,475.72497231057,475.72805529951,475.73112290268,475.7026409529
157944.59714422,749.3464428303,2.9607145878664,2.9604911464973,2.9604717688178,2.9604535256986,2.9606379785763,29959972.419808,30207209.570609,30457291.956134,30707376.335737,30960305.735779,475.69213288539,475.72652590867,475.72960091636,475.73267707667,475.70440226725
171081.51482012,1943.6116860939,2.9607144247222,2.9604913540028,2.9604729887249,2.9604552250691,2.9606398260044,29961460.46409,30208761.321698,30458842.213982,30708927.846563,30961793.589185,475.69457550207,475.72870006148,475.73177928534,475.73485193884,475.70684603915
182149.70927595,564.77525327197,2.9607094191803,2.9604863102865,2.9604671756242,2.960448080419,2.9606344598502,29962834.669056,30210211.394878,30460293.027077,30710378.120902,30963167.840485,475.69662712434,475.73053459273,475.73361322416,475.73669251006,475.70889942547
189580.55685149,980.62318959375,2.9607110043683,2.9604876001851,2.9604684981241,2.9604494951498,2.9606350314993,29963661.925235,30211078.024737,30461159.606811,30711244.668486,30963995.078488,475.69798789394,475.73174935521,475.73482984108,475.73790632714,475.71026197855
206772.02581225,2543.484004208,2.9607092011869,2.9604859010495,2.96046653419,2.9604476123779,2.9606330911573,29965397.625135,30212907.89548,30462988.897065,30713074.425386,30965730.842448,475.70112287077,475.73458226104,475.73765569846,475.74073094568,475.71340500219
227378.29601323,1806.6554666042,2.960706805984,2.9604833917255,2.9604643588274,2.9604453535558,2.9606307168651,29967228.262563,30214855.149836,30464936.185733,30715021.553095,30967560.950533,475.70482023457,475.7379253415,475.74100468514,475.74407904136,475.71710787906
254152.07587132,1916.9995886603,2.9607031801727,2.9604801262578,2.9604612103882,2.9604421322671,2.960627369083,29969275.37322,30217043.737941,30467124.743149,30717209.92936,30969608.479091,475.70954334684,475.742200922,475.74528311892,475.74835404207,475.72183644842
281648.9086353,4068.1662783566,2.9607002571159,2.9604776176978,2.9604586668333,2.9604395740718,2.96062425202,29971093.745394,30218982.028934,30469063.780356,30719148.47375,30971426.851103,475.71432207763,475.74651796574,475.74960284015,475.7526670496,475.7266214444
